,movie_title,imdb_score_scaled,budget_scaled,num_voted_users_scaled,movie_facebook_likes_scaled,cast_total_facebook_likes_scaled,num_critic_for_reviews_scaled,gross_scaled,content_rating
0,Avatar ,1.468201539769537,4.169934352027517,5.744872273819751,1.0055349747683897,-0.3161931199827768,4.168528024238189,9.51279882604695,PG-13
1,Pirates of the Caribbean: At World's End ,0.7573862116636576,5.50857617245396,2.747843769343092,-0.4341618456391817,1.6285209934801617,1.0145226788823176,3.4220525141232754,PG-13
3,The Dark Knight Rises ,2.0013130358489457,4.44616202925837,7.609117543386948,6.720695080022689,4.238797826214254,4.842780948423529,5.29512873329735,PG-13
5,John Carter ,0.31312663159748344,4.737263504493962,0.8772214438666242,0.6128903873845066,-0.4485191262784787,2.2131945441007006,0.23093101320626733,PG-13
6,Spider-Man 3 ,-0.04228103245545543,4.616148292169664,2.1111203750226357,-0.4341618456391817,1.5259582834333412,1.6887756030676582,3.7883080746569924,PG-13
7,Tangled ,1.3793496237563017,4.658644857897488,1.473804773924648,0.8310262692644418,-0.441234715935284,1.1793400603498452,1.9557842323029622,PG
8,Avengers: Age of Ultron ,1.1127938757165974,4.44616202925837,2.6860881577007634,4.713844966727286,3.579223517900082,3.5092584983680775,5.441772681934501,PG-13
10,Batman v Superman: Dawn of Justice ,0.5796823796371886,4.44616202925837,2.028666414302198,8.16039190043026,0.5604387407049932,3.7939430663574436,3.703499159330142,PG-13
11,Superman Returns ,-0.13113294846869075,3.5749824318379866,1.0808250227954648,-0.4341618456391817,0.8080640027396044,2.0034269676874836,1.9458217746597068,PG-13
13,Pirates of the Caribbean: Dead Man's Chest ,0.9350900436901275,3.9149549576605756,3.1148675307351064,-0.21602596375924663,1.6345987837051583,1.0969313696160814,4.956256949170916,PG-13
14,The Lone Ranger ,0.2242747155842489,3.7024721290214577,0.657584949741202,1.6599426204081948,1.5126407724991568,2.123294154209322,0.45008405884319674,PG-13
15,Man of Steel ,0.846238127676893,3.9149549576605756,3.306489755469745,4.713844966727286,0.38369123820600615,4.243445015814338,3.173851997000709,PG-13
16,The Chronicles of Narnia: Prince Caspian ,0.31312663159748344,3.9149549576605756,0.4274187302299169,-0.4341618456391817,0.4820978122901451,0.6848879159472622,1.1565608950240662,PG
17,The Avengers ,1.645905371796006,3.8087135433410166,6.533597815051221,4.931980848607221,3.3869240227665447,4.018694041085891,7.659978076561777,PG-13
18,Pirates of the Caribbean: On Stranger Tides ,0.4019785476107188,4.44616202925837,2.0219138126315657,2.096214384168065,1.88472666524418,2.108310755894092,2.4993264532212156,PG-13
19,Men in Black 3 ,0.4908304636239533,3.9149549576605756,1.2812942390237123,1.310925209400299,0.029615267965936692,2.130785853366937,1.661625541154474,PG-13
21,The Amazing Spider-Man ,0.6685342956504231,4.0211963719801345,2.607613537643982,2.008960031416091,0.740940172460596,3.2395573286939414,2.7824186874099732,PG-13
22,Robin Hood ,0.4019785476107188,3.3837478860627805,0.8740509709966695,0.30750015275259757,-0.3872496380544303,1.3216823443445282,0.665167539893605,PG-13
23,The Hobbit: The Desolation of Smaug ,1.468201539769537,3.9149549576605756,2.8368192266502468,3.1868937935677404,-0.12322328033912924,2.5653044045086006,2.732794899725181,PG-13
24,The Golden Compass ,-0.13113294846869075,2.958782228784545,0.4208972336431993,-0.4341618456391817,0.5450655066064719,0.6324460218439579,0.19076059265978093,PG-13
27,Captain America: Civil War ,1.7347572878092405,4.44616202925837,1.3139089439911729,2.7069948534318833,2.363576093632713,2.617746298611905,4.742449117552071,PG-13
28,Battleship ,-0.3088367804951598,3.5749824318379866,0.8062866271725594,1.4854339149042468,0.66005193490733,1.5764001157034346,0.12446123865387053,PG-13
29,Jurassic World ,0.6685342956504231,2.321333742867191,2.3650326419061547,6.109914610758871,-0.15423788634021574,3.5766837907866114,8.050153302739963,PG-13
31,Spider-Man 2 ,0.9350900436901275,3.3837478860627805,2.3141173031062,-0.4341618456391817,1.406771029535794,0.9995392805670879,4.285821884477139,PG-13
32,Iron Man 3 ,0.846238127676893,3.3837478860627805,3.370881409475475,3.7104199100795845,0.8275039935327926,3.3069826211124753,4.766684958036865,PG-13
33,Alice in Wonderland ,0.2242747155842489,3.3837478860627805,1.5569303837952124,0.6128903873845066,3.0410262555498164,2.130785853366937,3.7566447245473165,PG
35,Monsters University ,0.9350900436901275,3.3837478860627805,1.0420354788671589,1.4854339149042468,0.13199921947672794,1.5689084165458198,2.8696096818333814,G
